location,date,percent_infected,percent_vaccinated
Afghanistan,2021-04-30,0.15,
Albania,2021-04-30,4.56,12.08
Algeria,2021-04-30,0.28,0.0
Andorra,2021-04-30,17.13,6.21
Angola,2021-04-30,0.08,
Anguilla,2021-04-22,,9.47
Antigua and Barbuda,2021-04-30,1.26,0.23
Argentina,2021-04-30,6.59,16.35
Armenia,2021-04-30,7.29,
Aruba,2021-04-30,,30.43
Australia,2021-04-30,0.12,8.55
Austria,2021-04-30,6.87,34.77
Azerbaijan,2021-04-30,3.15,6.65
Bahamas,2021-04-30,2.66,1.75
Bahrain,2021-04-30,10.4,46.28
Bangladesh,2021-04-30,0.46,1.98
Barbados,2021-04-30,1.34,24.11
Belarus,2021-04-30,3.8,
Belgium,2021-04-30,8.54,32.99
Belize,2021-04-30,3.19,5.34
Benin,2021-04-30,0.06,
Bermuda,2021-04-26,,
Bhutan,2021-04-30,0.14,62.26
Bolivia,2021-04-30,2.6,6.39
Bosnia and Herzegovina,2021-04-30,6.05,
Botswana,2021-04-30,2.0,
Brazil,2021-04-30,6.9,18.35
Brunei,2021-04-30,0.05,0.08
Bulgaria,2021-04-30,5.82,11.69
Burkina Faso,2021-04-30,0.06,
Burundi,2021-04-30,0.03,
Cambodia,2021-04-30,0.08,12.13
Cameroon,2021-04-30,0.27,0.0
Canada,2021-04-30,3.25,35.56
Cape Verde,2021-04-30,4.3,
Cayman Islands,2021-04-30,,14.06
Central African Republic,2021-04-30,0.13,
Chad,2021-04-30,0.03,
Chile,2021-04-30,6.27,77.25
China,2021-04-30,0.01,12.83
Colombia,2021-04-30,5.62,8.2
Comoros,2021-04-30,0.44,
Congo,2021-04-30,0.19,
Costa Rica,2021-04-30,4.93,
Cote d'Ivoire,2021-04-30,0.17,0.42
Croatia,2021-04-30,8.09,10.36
Cuba,2021-04-30,0.94,
Curacao,2021-04-30,,33.42
Cyprus,2021-04-30,7.45,1.1
Czechia,2021-04-30,15.23,29.46
Democratic Republic of Congo,2021-04-30,0.03,
Denmark,2021-04-30,4.34,34.01
Djibouti,2021-04-30,1.12,
Dominica,2021-04-30,0.24,6.99
Dominican Republic,2021-04-30,2.46,6.67
