continent,location,date,population,new_cases,new_vaccinations,total_vaccinations,RollingPeopleInfected,RollingPeopleVaccinated,percent_infected,percent_vaccinated
Asia,Afghanistan,2021-02-28,38928341,7,,8200,55714,,0.14,
Asia,Afghanistan,2021-03-16,38928341,10,,54000,55995,,0.14,
Asia,Afghanistan,2021-04-07,38928341,94,,120000,56873,,0.15,
Asia,Afghanistan,2021-04-22,38928341,98,,240000,58312,,0.15,
Europe,Albania,2021-01-12,2877800,656,,128,64627,,2.25,
Europe,Albania,2021-01-13,2877800,707,60,188,65334,60,2.27,0.0
Europe,Albania,2021-01-14,2877800,660,78,266,65994,138,2.29,0.0
Europe,Albania,2021-01-15,2877800,641,42,308,66635,180,2.32,0.01
Europe,Albania,2021-01-16,2877800,581,61,369,67216,241,2.34,0.01
Europe,Albania,2021-01-17,2877800,474,36,405,67690,277,2.35,0.01
Europe,Albania,2021-01-18,2877800,292,42,447,67982,319,2.36,0.01
Europe,Albania,2021-01-19,2877800,586,36,483,68568,355,2.38,0.01
Europe,Albania,2021-01-20,2877800,670,36,519,69238,391,2.41,0.01
Europe,Albania,2021-01-21,2877800,678,30,549,69916,421,2.43,0.01
Europe,Albania,2021-02-02,2877800,942,,550,79934,421,2.78,0.01
Europe,Albania,2021-02-09,2877800,1239,,1127,87528,421,3.04,0.01
Europe,Albania,2021-02-17,2877800,1075,,1701,95726,421,3.33,0.01
Europe,Albania,2021-02-18,2877800,1112,1348,3049,96838,1769,3.37,0.06
Europe,Albania,2021-02-19,2877800,1071,1128,4177,97909,2897,3.4,0.1
Europe,Albania,2021-02-22,2877800,1039,,6728,101285,2897,3.52,0.1
Europe,Albania,2021-02-25,2877800,986,,10135,104313,2897,3.62,0.1
Europe,Albania,2021-03-01,2877800,764,,14295,107931,2897,3.75,0.1
Europe,Albania,2021-03-03,2877800,851,,15793,109674,2897,3.81,0.1
Europe,Albania,2021-03-10,2877800,631,,21613,114840,2897,3.99,0.1
Europe,Albania,2021-03-12,2877800,681,,23635,116123,2897,4.04,0.1
Europe,Albania,2021-03-17,2877800,446,,33369,118938,2897,4.13,0.1
Europe,Albania,2021-03-22,2877800,344,,48229,121544,2897,4.22,0.1
Europe,Albania,2021-03-23,2877800,303,3461,51690,121847,6358,4.23,0.22
Europe,Albania,2021-03-24,2877800,448,2302,53992,122295,8660,4.25,0.3
Europe,Albania,2021-03-25,2877800,472,5356,59348,122767,14016,4.27,0.49
Europe,Albania,2021-03-26,2877800,449,2900,62248,123216,16916,4.28,0.59
Europe,Albania,2021-03-27,2877800,425,1827,64075,123641,18743,4.3,0.65
Europe,Albania,2021-03-28,2877800,493,13925,78000,124134,32668,4.31,1.14
Europe,Albania,2021-03-30,2877800,304,,119321,124723,32668,4.33,1.14
Europe,Albania,2021-03-31,2877800,434,19525,138846,125157,52193,4.35,1.81
Europe,Albania,2021-04-01,2877800,349,16617,155463,125506,68810,4.36,2.39
Europe,Albania,2021-04-02,2877800,336,17023,172486,125842,85833,4.37,2.98
Europe,Albania,2021-04-03,2877800,341,13010,185496,126183,98843,4.38,3.43
Europe,Albania,2021-04-04,2877800,348,7386,192882,126531,106229,4.4,3.69
Europe,Albania,2021-04-05,2877800,264,13826,206708,126795,120055,4.41,4.17
Europe,Albania,2021-04-06,2877800,141,14880,221588,126936,134935,4.41,4.69
Europe,Albania,2021-04-07,2877800,256,10791,232379,127192,145726,4.42,5.06
Europe,Albania,2021-04-08,2877800,317,10163,242542,127509,155889,4.43,5.42
Europe,Albania,2021-04-09,2877800,286,8134,250676,127795,164023,4.44,5.7
Europe,Albania,2021-04-10,2877800,360,6134,256810,128155,170157,4.45,5.91
Europe,Albania,2021-04-12,2877800,125,,267531,128518,170157,4.47,5.91
Europe,Albania,2021-04-13,2877800,234,13685,281216,128752,183842,4.47,6.39
Europe,Albania,2021-04-15,2877800,169,,304488,129128,183842,4.49,6.39
Europe,Albania,2021-04-16,2877800,179,10134,314622,129307,193976,4.49,6.74
Europe,Albania,2021-04-17,2877800,149,10218,324840,129456,204194,4.5,7.1
Europe,Albania,2021-04-18,2877800,138,8065,332905,129594,212259,4.5,7.38
Europe,Albania,2021-04-19,2877800,100,13029,345934,129694,225288,4.51,7.83
Europe,Albania,2021-04-20,2877800,148,4066,350000,129842,229354,4.51,7.97
Europe,Albania,2021-04-21,2877800,138,22075,372075,129980,251429,4.52,8.74
Europe,Albania,2021-04-22,2877800,134,10923,382998,130114,262352,4.52,9.12
Europe,Albania,2021-04-23,2877800,156,8353,391351,130270,270705,4.53,9.41
Europe,Albania,2021-04-24,2877800,139,8713,400064,130409,279418,4.53,9.71
Europe,Albania,2021-04-26,2877800,69,,408619,130606,279418,4.54,9.71
Europe,Albania,2021-04-27,2877800,130,8236,416855,130736,287654,4.54,10.0
Europe,Albania,2021-04-28,2877800,123,16773,433628,130859,304427,4.55,10.58
Europe,Albania,2021-04-29,2877800,118,19620,453248,130977,324047,4.55,11.26
Europe,Albania,2021-04-30,2877800,108,23655,476903,131085,347702,4.56,12.08
Africa,Algeria,2021-01-30,43851043,235,30,30,107122,30,0.24,0.0
Africa,Algeria,2021-02-19,43851043,182,,75000,111600,30,0.25,0.0
Europe,Andorra,2021-01-25,77265,47,,576,9596,,12.42,
Europe,Andorra,2021-02-01,77265,35,,1036,9972,,12.91,
Europe,Andorra,2021-02-10,77265,40,,1291,10352,,13.4,
Europe,Andorra,2021-02-12,77265,36,,1622,10427,,13.5,
Europe,Andorra,2021-02-19,77265,35,,2141,10645,,13.78,
Europe,Andorra,2021-02-24,77265,36,,2390,10775,,13.95,
Europe,Andorra,2021-02-26,77265,23,,2526,10822,,14.01,
Europe,Andorra,2021-03-08,77265,27,,3611,11069,,14.33,
Europe,Andorra,2021-03-10,77265,41,,4914,11130,,14.4,
Europe,Andorra,2021-03-15,77265,23,,8363,11289,,14.61,
Europe,Andorra,2021-03-19,77265,38,,9288,11431,,14.79,
Europe,Andorra,2021-04-04,77265,57,,12440,12231,,15.83,
Europe,Andorra,2021-04-05,77265,55,2829,15269,12286,2829,15.9,3.66
Europe,Andorra,2021-04-11,77265,48,,17091,12545,2829,16.24,3.66
Europe,Andorra,2021-04-12,77265,36,1973,19064,12581,4802,16.28,6.21
Europe,Andorra,2021-04-19,77265,0,,26414,12805,4802,16.57,6.21
Africa,Angola,2021-03-08,32866268,22,,6169,21108,,0.06,
Africa,Angola,2021-03-18,32866268,69,,49000,21558,,0.07,
Africa,Angola,2021-03-24,32866268,62,,87022,21836,,0.07,
Africa,Angola,2021-03-29,32866268,69,,130750,22132,,0.07,
Africa,Angola,2021-04-06,32866268,168,,181578,22885,,0.07,
